fid,xcoord,ycoord,zcoord,Title
10,,,,Red kite sighting
1,0.171749279122232,52.181684990652961,0.000000000000000,Rabbit hole
2,0.171567623667128,52.182363289338504,23.844546499662101,Muntjac footprints
3,0.171123565554926,52.182265836330366,0.000000000000000,Green woodpecker
4,0.170495733357698,52.181722848313363,0.000000000000000,Greenfinch singing
5,0.171360049733155,52.182713752940934,0.000000000000000,Buzzard
6,0.171606577919024,52.182586474606197,0.000000000000000,Goldfinches
7,0.171822309494179,52.182471812751629,14.564052647911012,Possible badger sett
8,0.171944936737578,52.182416701737957,13.643337249755859,Wild cherry trees
9,0.171073465222845,52.183321864806189,20.232439533807337,Rabbit evidence
